PID,condition,test_date,dob,age,pair,gender,aab_pre,abb_abs1,aab_abs1,num_stars,update_strat,strat,abb_abs2,aab_abs2
82,Demonstration,2/6/2021,4/17/2014,6.802777778,29,M,1,1,1,2,sectioning,randomexp,1,1
84,Exploration,2/13/2021,7/26/2014,6.547222222,30,M,1,1,1,3,sectioning,randomexp,1,1
90,Demonstration,2/27/2021,9/2/2014,6.486111111,30,F,1,1,1,2,sectioning,semiseq,1,1
89,Exploration,2/22/2021,12/14/2015,5.188888889,31,F,1,1,1,2,sectioning,randomexp,1,1
95,Demonstration,3/30/2021,1/24/2016,5.183333333,31,M,1,1,1,3,sectioning,chunking,1,1
91,Exploration,2/27/2021,7/27/2016,4.583333333,32,M,1,1,1,3,exploiting,exploit,1,1
104,Demonstration,4/1/2021,9/30/2016,4.502777778,32,M,0,0,1,1,sequential,seq,0,0
92,Exploration,3/1/2021,9/11/2014,6.472222222,33,F,1,1,1,2,sectioning,bigonly,1,1
93,Demonstration,3/2/2021,9/20/2014,6.45,33,M,1,1,1,3,exploiting,exploit,1,1
94,Exploration,3/5/2021,5/12/2015,5.813888889,34,F,1,1,1,1,sequential,seq,1,1
105,Demonstration,4/2/2021,9/1/2015,5.586111111,34,M,1,1,1,2,sectioning,chunking,1,1
97,Exploration,3/30/2021,6/25/2014,6.763888889,36,M,1,1,1,3,sectioning,chunking,1,1
109,Demonstration,4/8/2021,5/2/2014,6.933333333,36,F,1,1,1,2,sectioning,chunking,1,1
98,Exploration,3/30/2021,3/11/2016,5.052777778,37,M,1,1,0,3,matching,bigonly,1,0
107,Demonstration,4/5/2021,3/2/2016,5.091666667,37,F,1,1,1,2,matching,bigonly,1,1
102,Exploration,4/1/2021,8/16/2014,6.625,38,M,1,0,0,3,exploiting,exploit,1,1
106,Demonstration,4/3/2021,10/25/2014,6.438888889,38,M,1,1,1,3,exploiting,exploit,1,1
108,Exploration,4/8/2021,1/23/2015,6.208333333,39,F,1,1,1,2,sectioning,chunking,1,1
115,Demonstration,4/13/2021,12/29/2014,6.288888889,39,F,1,1,1,3,exploiting,exploit,1,1
110,Exploration,4/9/2021,7/7/2015,5.755555556,40,M,1,1,1,2,sectioning,chunking,1,1
118,Demonstration,4/14/2021,7/27/2015,5.713888889,40,F,1,1,1,2,sectioning,,1,1
113,Exploration,4/10/2021,10/18/2014,6.477777778,42,M,1,1,1,3,matching,bigonly,1,1
114,Demonstration,4/12/2021,9/3/2014,6.608333333,42,M,1,1,1,3,sectioning,chunking,1,1
116,Exploration,4/13/2021,3/20/2015,6.063888889,43,M,1,0,1,1,sequential,seq,0,1
117,Demonstration,4/13/2021,3/20/2015,6.063888889,43,M,0,1,0,2,sequential,seq,1,0
