PID,condition,age_group,age,gender,pre1,abb_abs1,aab_abs1,pre,stars,stars_order,transfer_grouped_strategy,transfer_strategy,abb_abs2,aab_abs2,post,diff
106,Demonstration,6,6.438888889,M,1,1,1,2,3,"3, 6, 9, 5, 2",exploit,exploit,1,1,2,0
107,Demonstration,5,5.091666667,F,1,1,1,2,2,"3, 5, 9, 2, 8",pattern-related,shape matching,1,1,2,0
108,Exploration,6,6.208333333,F,1,1,1,2,2,"3, 9, 4, 7, 5",pattern-related,unconstrained chunking,1,1,2,0
109,Demonstration,6,6.933333333,F,1,1,1,2,2,"3, 9, 7, 5, 1",pattern-related,unconstrained chunking,1,1,2,0
110,Exploration,5,5.755555556,M,1,1,1,2,2,"4, 3, 6, 8, 1",pattern-related,unconstrained chunking,1,1,2,0
113,Exploration,6,6.477777778,M,1,1,1,2,3,"3, 6, 2, 9, 8",pattern-related,shape matching,1,1,2,0
114,Demonstration,6,6.608333333,M,1,1,1,2,3,"3, 5, 9, 7, 6",pattern-related,unconstrained chunking,1,1,2,0
115,Demonstration,6,6.288888889,F,1,1,1,2,3,"9, 6, 3, 1, 5",exploit,exploit,1,1,2,0
116,Exploration,6,6.063888889,M,1,0,1,1,1,"1, 2, 3, 4, 5",no strategy,sequential,0,1,1,0
117,Demonstration,6,6.063888889,M,0,1,0,1,2,"2, 3, 4, 5, 6",no strategy,sequential,1,0,1,0
118,Demonstration,5,5.713888889,F,1,1,1,2,2,"1, 8, 4, 9, 6",pattern-related,unconstrained chunking,1,1,2,0
119,Exploration,6,6.163888889,M,1,0,0,0,3,"3, 6, 9, 8, 5",exploit,exploit,1,1,2,2
121,Demonstration,6,6.136111111,M,1,1,1,2,2,"1, 3, 2, 4, 9",pattern-related,unconstrained chunking,1,1,2,0
